year,gdp_growth_rate,gdp,gdp_per_capita,capital_investment,household_consumption,inflation,exports,imports,foreign_investments,net_equity_inflow,current_account_balance,trade_balance,foreign_exchange_reserves,net_payment_error_balance,country_id,government spending as percent of gdp,gov_spend,gov_debt,tax_revenue,foreign_aid_assistance,economic_growth_forecast,investment_forecast,inflation_forecast,liability_liquid,assets_bank,credit_bank_to_gov,population,population_growth,life_expectancy,globalization_index,economic_gi,political_gi,social_gi,energy,income_natural_resources,electricity_access,renewable_pg,fossil_pg,wind_pg,solar_pg,hydro_pg,nuclear_pg,geo_pg,labour_force,unemplyment_rate,s&p,moodys,fitch,yield
2010,3.71,11.93,4094.35,3.61,9.32,3.6,3.34,5.79,1.09,6.87,-1.36,-2.46,2.54,434.57,2,11.16,1.33,57.72,,365.07,3.71,31.32,3.5,64.36,61.64,24.27,2.91,-0.5,76.56,70.1,64.69,75.12,70.51,729.15,1.57,100.0,7.49,0.0,0.0,0.0,7.49,0.0,0.0,1.23,14.09,B,Aa3,AA-,
1977,3.59,110.39,7778.16,29.76,62.55,12.3,15.45,16.14,1.14,-64.51,,,3.32,,10,17.61,19.44,,20.53,,,,,38.55,37.14,,14.19,1.13,73.34,62.11,42.21,76.64,67.48,4671.2,5.19,,,,,,,,,,,AA+,Ba3,AAA,9.5
2007,3.73,389.19,46855.77,95.56,202.18,2.2,204.3,187.24,68.87,3940.87,14.75,18.76,18.19,2113.78,11,18.74,72.86,65.03,25.39,,3.73,24.58,3.46,86.32,104.33,11.73,8.3,0.32,80.18,88.79,84.31,96.38,85.66,4019.59,0.22,100.0,43.39,17.7,2.04,0.02,36.73,0.0,0.0,4.16,4.86,A-,Aa3,AA-,4.35
2015,2.04,462.34,40991.81,109.2,237.26,0.6,359.58,353.02,-19.51,7756.07,6.36,6.5,24.1,1768.1,18,23.62,109.14,105.2,24.35,,2.04,23.63,1.45,125.95,81.36,20.73,11.27,0.58,80.99,90.48,88.5,95.72,87.09,4687.79,0.02,100.0,15.71,24.77,5.57,3.06,0.31,24.83,0.0,5.0,8.48,B+,B2,AA,0.89
1989,3.16,347.03,2371.57,93.36,187.85,1430.7,30.99,18.95,1.13,-57.0,1.0,13.33,9.68,-752.0,26,15.5,53.79,,,232.4,3.2,22.65,1972.91,111.33,188.04,60.59,146.33,1.86,65.95,42.9,28.45,66.06,34.18,993.91,1.9,,205.97,10.82,0.0,0.0,202.64,1.51,0.0,,,B+,B1,BB+ ,
1983,3.43,16.56,1852.81,5.45,8.43,,6.15,6.12,0.0,0.0,0.04,0.06,,523.0,28,15.5,2.57,,,,3.0,13.74,,,,,8.94,0.25,71.39,51.65,46.98,63.78,44.21,3370.13,1.5,,3.32,25.26,0.0,0.0,3.32,11.61,0.0,,,B+,B2,BBB-,
1976,,206.58,8809.26,52.06,112.09,7.5,44.94,46.81,2.45,-57.34,-7.64,-1.52,7.88,-3021.44,34,22.27,46.0,,,,,,,53.13,50.66,,23.45,1.32,73.86,66.72,43.62,80.33,76.22,7293.7,4.2,,,,,,,,,,,AAA,Baa1,BB-,8.67
1977,,211.61,8919.06,51.57,115.77,8.0,48.2,48.95,3.37,-97.37,-7.0,-0.51,7.3,-1403.05,34,22.74,48.11,,,,,,,54.96,53.78,,23.73,1.17,74.22,67.09,44.4,80.72,76.15,7431.44,4.46,,,,,,,,,,,AAA,Baa1,BB-,8.76
1978,,218.63,9123.69,51.54,120.56,9.0,53.81,53.34,3.74,-235.15,-8.19,0.67,8.56,-2121.44,34,22.19,48.52,,,,,,,58.02,58.67,,23.96,1.0,74.53,67.9,46.41,80.72,76.56,7561.75,4.1,,,,,,,,,,,AAA,Baa1,BB-,9.63
1979,,243.07,10043.66,61.32,131.09,9.1,64.21,63.19,5.31,450.56,-8.38,1.18,14.22,-1129.77,34,21.46,52.17,,,,,,,59.75,60.6,,24.2,0.99,74.87,68.49,48.04,80.52,76.92,7862.21,8.43,,,,,,,,,,,AAA,Baa1,BB-,11.2
1980,,273.85,11170.56,65.29,147.31,10.1,75.58,70.92,5.81,1282.53,-6.09,4.72,15.46,120.53,34,21.56,59.05,44.59,,,2.16,22.39,7.34,59.73,61.39,5.29,24.52,1.29,75.08,68.59,48.24,80.42,77.11,7828.84,9.0,,252.23,79.8,0.0,0.0,251.0,35.88,0.0,,,AAA,Baa1,BB-,12.94
1981,,306.21,12337.47,77.72,162.03,12.5,81.07,79.02,0.66,-528.34,-12.53,2.36,11.67,-3859.65,34,21.47,65.76,46.08,,,3.5,25.3,12.36,67.85,74.76,4.89,24.82,1.23,75.46,68.74,48.96,79.67,77.58,7555.25,5.77,,264.94,77.6,0.0,0.0,263.14,37.8,0.0,,,AAA,Baa1,BB-,15.0
1982,,313.51,12481.88,62.69,168.75,10.8,79.27,67.41,0.09,-249.8,1.8,12.13,12.27,-1855.74,34,23.03,72.21,51.71,,,-3.19,19.92,9.64,68.23,73.28,5.21,25.12,1.19,75.76,67.88,47.92,79.44,76.27,7173.56,3.32,,257.22,85.13,0.0,0.0,255.19,36.17,0.0,,,AAA,Baa1,BB-,11.65
1983,,340.55,13425.12,69.13,185.36,5.9,85.21,74.47,4.62,740.0,-2.52,11.08,11.16,-2756.1,34,22.76,77.49,57.21,,,2.6,20.22,4.66,64.46,69.07,6.06,25.37,0.99,76.07,67.54,47.2,79.38,76.05,7076.52,4.37,,265.34,85.88,0.0,0.0,263.36,46.22,0.0,,,AAA,Baa1,BB-,11.79
1984,,355.37,13877.92,74.77,191.7,4.3,99.65,87.54,5.68,116.72,-1.37,12.38,8.7,-5587.89,34,22.12,78.6,60.21,,,5.91,20.96,3.66,63.14,67.81,5.19,25.61,0.94,76.22,68.32,48.56,79.97,76.42,7368.74,4.5,,285.59,92.23,0.0,0.0,283.37,49.26,0.0,,,AAA,Baa1,BB-,11.66
1985,,364.76,14114.81,78.85,198.18,4.0,100.87,92.63,1.26,1133.21,-5.84,8.48,9.08,-4147.22,34,22.14,80.76,65.17,,,4.74,21.53,4.13,62.48,68.12,4.89,25.84,0.91,76.37,68.29,48.62,79.57,76.67,7468.1,4.2,,302.39,88.58,0.0,0.0,300.8,57.1,0.0,,,AAA,Baa1,BB-,9.72
1986,,377.44,14461.07,82.17,210.25,4.2,102.28,98.84,2.71,1341.71,-11.35,3.7,10.96,-1184.35,34,22.18,83.73,69.32,,,2.15,21.68,4.39,64.46,68.59,5.28,26.1,0.99,76.52,68.31,48.76,79.31,76.85,7521.89,1.98,,309.43,80.93,0.0,0.0,307.65,67.23,0.0,,,AAA,Baa1,BB-,8.67
1987,,431.32,16308.97,96.06,238.2,4.4,112.63,107.69,8.6,4974.27,-13.71,5.2,16.24,-2068.06,34,21.6,93.15,69.76,,,4.07,22.18,4.2,64.05,68.39,4.31,26.45,1.32,76.72,68.05,48.54,78.49,77.13,7671.2,2.81,,315.39,96.03,0.0,0.0,313.19,72.89,0.0,,,AAA,Baa1,BB-,10.12
1988,,507.35,18936.96,119.74,277.45,4.0,132.71,128.94,7.2,-1934.63,-15.29,4.08,22.42,752.69,34,21.21,107.59,69.75,,,4.41,23.51,4.09,65.99,71.36,5.14,26.79,1.3,76.92,67.83,48.8,77.35,77.33,7885.24,2.82,,305.83,107.32,0.0,0.0,303.46,78.18,0.0,,,AAA,Baa1,BB-,10.12
1989,,565.06,20715.63,133.92,311.16,5.0,142.07,141.92,7.17,3287.13,-22.22,0.36,22.51,-1213.82,34,21.45,121.21,70.99,,,2.32,23.61,5.2,69.92,74.86,5.06,27.28,1.79,77.12,68.16,51.61,75.53,77.34,7963.3,2.8,,290.95,119.16,0.0,0.0,287.64,75.35,0.0,,,AAA,Baa1,BB-,9.58
1990,,593.93,21448.36,126.99,332.86,4.8,149.46,148.54,8.4,-1501.96,-20.26,1.12,23.53,-1388.92,34,22.7,134.82,73.74,14.16,,0.17,21.3,4.92,72.99,78.84,5.77,27.69,1.51,77.42,70.79,54.32,79.42,78.62,7630.09,2.89,100.0,297.86,101.88,0.0,0.0,293.86,69.24,0.0,14.67,,AAA,Baa1,BB-,10.26
1991,,610.33,21768.34,118.47,350.86,5.6,149.17,152.34,3.51,-855.71,-22.87,-3.2,20.84,209.69,34,24.1,147.11,81.66,14.45,,-2.09,19.34,4.11,75.17,83.23,8.25,28.04,1.24,77.62,72.86,55.13,85.31,78.15,7517.33,2.22,100.0,309.3,104.61,0.0,0.0,305.27,80.68,0.0,14.74,10.32,AAA,Baa1,BB-,8.41
1992,,592.39,20879.85,109.23,342.98,1.5,155.72,157.74,7.02,830.16,-21.72,-2.26,14.74,3145.34,34,24.53,145.3,88.23,14.36,,0.9,18.38,1.79,78.14,86.49,9.96,28.37,1.18,77.72,74.12,55.47,88.18,78.71,7601.69,2.43,100.0,317.77,111.67,0.06,0.0,313.2,76.55,0.0,14.72,11.2,AA+,Baa1,BB-,7.85
1993,,577.17,20121.16,106.98,333.83,1.9,168.75,168.55,4.18,9334.34,-22.35,0.06,14.85,-4965.26,34,23.96,138.31,94.73,13.7,,2.66,18.48,1.81,76.53,87.44,11.91,28.68,1.1,77.82,75.5,58.29,89.6,78.61,7770.55,2.64,100.0,325.27,103.16,0.06,0.0,320.34,90.08,0.0,14.8,11.38,AA+,Baa1,BB-,6.67
1994,,578.14,19935.38,113.18,328.17,0.2,190.11,183.32,9.54,4718.26,-13.91,6.65,13.77,477.27,34,22.75,131.52,97.48,13.11,,4.49,19.52,0.04,75.52,87.36,12.61,29.0,1.1,77.83,76.58,61.01,90.15,78.59,7957.25,2.45,100.0,332.3,105.48,0.06,0.0,326.45,102.44,0.0,14.93,10.4,AA+,Baa1,BB-,9.07
1995,,604.03,20613.79,117.44,338.29,2.1,218.74,199.75,13.66,-3077.28,-5.06,18.9,16.37,3869.61,34,21.73,131.24,100.08,13.33,,2.69,19.38,2.05,75.26,86.71,12.76,29.3,1.03,78.03,77.57,63.2,90.66,78.84,7979.9,2.45,100.0,338.32,113.31,0.06,0.0,332.56,92.95,0.0,15.03,9.49,AA+,Baa1,BB-,7.25
1996,,628.55,21227.35,119.36,355.82,1.6,233.95,209.12,8.82,6101.69,2.43,24.63,21.56,4306.27,34,20.83,130.92,100.24,13.92,,1.62,18.93,2.05,75.74,90.65,12.02,29.61,1.05,78.18,78.66,64.98,90.46,80.55,8053.46,3.1,100.0,358.05,111.51,0.06,0.01,352.09,88.13,0.0,15.16,9.62,AA+,Baa1,BB-,6.39
1997,,654.99,21901.56,138.98,372.53,1.6,249.77,237.13,15.18,5461.37,-8.99,12.43,18.72,-1643.41,34,19.85,130.04,95.27,14.57,,4.28,21.22,1.0,74.96,91.87,10.34,29.91,0.99,78.43,79.88,67.42,90.66,81.56,8056.24,2.43,100.0,354.19,126.01,0.06,0.01,347.19,77.86,0.0,15.4,9.1,AA+,Baa1,BB-,5.67
1998,2.8,634.0,21024.59,133.43,361.91,1.0,253.78,241.25,24.98,9870.22,-9.0,12.05,24.02,3545.69,34,19.84,125.76,93.29,14.67,,3.9,21.05,1.14,74.03,89.8,9.94,30.16,0.83,78.63,80.94,69.48,90.54,82.81,7948.4,1.48,100.0,336.0,142.42,0.06,0.01,328.57,67.74,0.0,15.65,8.28,AA+,Baa1,BB-,4.87
1999,3.97,678.41,22315.25,140.32,381.59,1.7,283.99,259.52,27.46,9755.19,0.85,24.1,28.65,5315.52,34,19.32,131.07,88.97,14.7,,5.16,20.68,2.37,72.73,86.58,9.33,30.4,0.81,78.89,81.78,70.51,90.96,83.86,8107.52,2.16,100.0,350.61,142.78,0.16,0.01,342.1,69.82,0.0,15.93,7.58,AA+,Baa1,BB-,6.14
2000,4.92,744.77,24271.0,153.53,406.16,2.7,329.26,287.16,68.3,24233.57,18.49,41.6,32.43,-4306.5,34,19.11,142.3,80.44,14.86,,5.18,20.61,3.13,70.57,83.44,9.45,30.69,0.93,79.14,82.67,71.54,91.65,84.82,8265.08,3.93,100.0,363.46,155.81,0.26,0.02,354.92,69.16,0.0,16.19,6.83,AA+,Baa1,BB-,5.4
2001,1.41,738.98,23822.06,145.37,407.14,2.5,310.67,268.28,28.39,2711.68,15.76,41.82,34.25,-4760.37,34,19.51,144.17,81.46,14.18,,1.79,19.67,1.07,128.26,132.64,11.28,31.02,1.09,79.34,82.36,70.33,91.91,84.85,8056.35,3.26,100.0,338.98,160.52,0.34,0.02,329.99,72.86,0.0,16.46,7.22,AA+,Baa1,BB-,5.41
2002,3.42,760.65,24255.34,150.15,426.05,2.3,304.71,271.16,24.49,-916.6,12.51,32.84,37.19,-3107.37,34,19.78,150.45,79.6,13.38,,3.02,19.74,3.82,126.28,129.13,11.29,31.36,1.09,79.49,80.79,66.55,91.47,84.34,7993.88,2.37,100.0,356.56,155.63,0.41,0.02,347.05,71.75,0.0,16.94,7.66,AAA,Baa1,BB-,4.97
